scripts,score,timeline,timeline_ori
恩宗齐中场拿球强突，莫德里奇的上抢犯规！！,,68,下半场22'37''
法国队前场中路的任意球机会！！,,68,下半场22'56''
格里兹曼任意球搓传到门前！！,,69,下半场23'10''
吉鲁胸部停球，没停好，被破坏,,69,下半场23'20''
克罗地亚的反击,,69,下半场23'24''
长传前场找曼朱基奇，乌姆蒂蒂回防拿到,,69,下半场23'47''
回传门将洛里斯！！,,69,下半场23'54''
球进了！！4-2！！,,70,下半场24'1''
洛里斯的失误，曼朱基奇将功补过！！,,70,下半场24'14''
乌姆蒂蒂后场拿球，回敲洛里斯，洛里斯外脚背停球，曼朱基奇上抢一捅，抢,,71,下半场25'18''
克罗地亚换人：9号克拉马里奇上，换下了18号雷比奇！！,,71,下半场25'58''
法国队后场的长传球到前场,,72,下半场26'21''
克罗地亚球员的解围，佩里西奇和洛夫伦相撞，受伤倒地,,72,下半场26'33''
比赛暂时中断！！,,72,下半场26'38''
乌姆蒂蒂这边和曼朱基奇争抢头球时，头头相撞，也是受伤了,,73,下半场27'17''
法国队换人：14号马图伊迪下，换上了12号托利索！,,73,下半场27'58''
这是法国队的第二次换人！！,,74,下半场28'10''
克罗地亚这边，随着克拉马里奇的上场，排出了双中锋的战术！！,,74,下半场28'36''
拉基蒂奇中场拿球，博格巴的犯规！！,,75,下半场29'32''
克罗地亚前场进攻，佩里西奇右路拿球,,75,下半场29'43''
传中到门前，瓦拉内的头球解围,,75,下半场29'51''
弗尔萨利科外围拿球，起脚远射，打偏！！,,76,下半场30'25''
下半场比赛30分钟，比分4-2，法国队领先！！,,76,下半场30'51''
吉鲁前场左路背身拿球，回传托利索,,77,下半场31'15''
没能传好，球先出边线！！,,77,下半场31'27''
斯特里尼奇前场左路拿球,,78,下半场32'3''
面对回防的姆巴佩，没机会,,78,下半场32'11''
回传给到洛夫伦，再给拉基蒂奇,,78,下半场32'24''
直塞禁区左侧克拉马里奇，回传交给跟进的拉基蒂奇,,78,下半场32'48''
拉基蒂奇的远射，打偏了！！,,78,下半场32'55''
莫德里奇中场拿球，分球布罗佐维奇,,80,下半场34'9''
布罗佐维奇的斜塞找禁区左侧克拉马里奇，被瓦拉内破坏,,80,下半场34'24''
博格巴后场拿球，长传姆巴佩,,80,下半场34'32''
姆巴佩前场一打三啊，失误了,,80,下半场34'45''
克罗地亚的反击，弗尔萨利科右路拿球,,81,下半场35'31''
横传中间莫德里奇，再给上来的布罗佐维奇,,81,下半场35'44''
